Age,Date,A,B,C,D,E
49,2009-05-23,,,,,975.0
63,1983-03-04,,279.9,,,
16,2002-02-22,926.1,525.7,1118.5,1202.5,
55,2010-02-13,,,,1581.5,1099.2
26,1972-02-17,160.9,190.4,,272.2,
64,2011-09-29,,667.6,1354.7,,1023.0
18,1978-03-07,319.3,,518.6,,
18,2001-06-01,,,1237.8,,945.9
20,2014-03-12,,,1510.1,1676.0,1188.7
23,2014-11-15,,,,1719.3,998.1
17,2004-11-17,,583.0,,,
20,2001-10-16,837.9,560.7,,,
55,1985-09-06,,,,,610.1
59,2018-08-05,,779.1,1710.4,,1171.0
17,2016-05-15,,,,1601.7,
66,1973-06-17,,182.7,396.3,,426.0
16,1974-02-12,194.3,,,297.1,
56,1971-12-29,,,346.4,,
32,1995-03-07,677.3,461.5,,,869.3
65,1986-04-10,441.3,335.3,,,
43,2004-02-11,819.3,,,,
35,1981-05-09,,268.2,,538.5,582.1
22,2002-06-03,874.4,,,,924.5
47,1994-10-10,674.6,,883.7,,740.1
44,1985-07-16,,,,,581.6
26,1999-11-04,790.2,496.1,1050.1,,953.5
32,1993-01-17,,,928.5,841.1,810.6
25,2002-06-19,894.2,516.7,,,947.8
55,1971-08-11,,,,237.2,401.3
66,1978-03-16,281.4,242.4,,,536.7
43,2020-04-18,1402.4,,,,
15,1996-04-03,,423.3,1092.6,1117.7,731.2
24,2000-12-16,,517.6,,1137.1,
32,1985-12-25,516.5,314.6,733.6,,
45,2015-04-25,1213.8,665.1,,1572.6,
61,1978-06-15,271.8,262.4,,,
20,1981-01-12,,,576.7,,
58,1972-03-24,143.0,,,273.5,
63,1996-02-12,,458.4,,1016.5,755.9
47,1985-02-20,,,,,683.2
23,2010-12-28,1134.7,676.1,,,1132.5
53,2011-09-10,,,,1369.2,
55,1985-09-27,,,751.6,698.8,
15,1994-07-18,,450.9,934.4,,760.0
49,1970-06-20,,164.3,284.2,,
41,2015-08-24,1261.1,,1589.0,1718.8,1171.0
44,1979-01-17,309.0,,,,
29,1985-01-19,,,739.8,,
52,1981-11-27,,295.4,,,548.0
34,2010-10-15,1063.4,644.8,1532.9,1359.0,1061.9
17,2010-03-05,,667.9,1309.5,,
58,2010-07-13,,,1346.1,,
41,1985-06-26,423.2,343.5,662.3,,
41,1979-11-20,,282.1,,475.1,
18,2006-05-08,,618.2,,1354.6,
34,1995-03-01,720.1,425.9,,977.2,740.8
31,2008-06-13,1060.1,,,,
61,2000-09-18,768.1,490.0,1199.8,1227.7,
30,2012-05-03,,584.8,1554.7,1547.2,997.9
14,1992-12-24,598.9,403.3,867.8,,
49,1983-03-04,408.8,,,,
35,2020-09-07,,,,,1154.0
14,1983-05-23,439.4,320.0,606.7,,
43,2006-12-27,1035.8,580.6,1198.5,1396.1,
34,1973-06-26,,,,,458.4
20,2020-02-25,,,1537.2,,
36,2005-02-07,,,1159.4,,1016.3
57,2005-07-09,860.5,532.6,,,910.6
21,1996-11-01,767.9,,1067.9,,772.3
63,2009-03-19,954.0,564.5,1303.6,1305.7,
50,1979-10-04,,,,551.8,538.0
33,2019-03-31,1313.7,752.1,,1822.8,1285.9
45,1978-10-09,,251.1,572.9,,
37,1970-01-05,,,,,427.6
62,1974-01-09,,,376.8,,
21,2008-11-17,961.7,,1470.4,1480.4,
22,1987-11-18,,,,,658.2
23,2008-01-04,,632.2,1221.8,1477.3,
18,1972-11-30,,,385.1,,446.7
65,2006-06-05,,,,,943.1
40,1988-12-16,558.5,392.6,,808.6,721.2
59,1998-12-02,852.5,,987.1,1192.6,
38,1988-02-09,,327.4,848.7,,
50,1986-11-06,494.4,333.5,,721.9,650.1
26,1984-03-11,465.7,,703.7,596.9,624.0
21,2013-06-08,,677.7,1370.4,1465.6,
51,2014-01-28,,704.0,,1558.0,
24,1984-08-18,,296.4,689.2,,
33,2015-04-12,1182.0,720.5,,,
61,1974-12-05,,217.9,,,
24,1984-10-23,,,671.3,,
65,2015-05-24,,687.7,,,1106.3
59,1992-10-01,,,,975.3,817.9
14,1980-01-22,317.1,280.0,549.9,,
36,1994-11-05,,422.7,,919.8,838.8
37,2000-10-28,904.7,531.1,1115.1,1101.7,
55,1979-12-07,366.2,269.0,546.8,558.9,
17,1986-09-20,,356.1,764.7,680.7,
55,2008-01-28,1013.7,,,,
24,2006-07-09,1000.8,,,1466.0,916.7
43,1989-02-18,,,,880.0,
56,1997-02-28,734.9,487.1,1059.5,1065.8,758.7
53,1974-03-02,199.5,,435.3,,
67,1990-03-20,565.5,381.9,913.8,827.2,664.6
46,2006-09-12,,,,1460.2,927.3
65,1993-03-08,,,,899.9,777.0
16,2018-06-26,1182.6,689.0,1585.5,,
17,1975-05-16,225.5,225.0,,353.5,459.9
52,2020-06-06,1390.1,,,,
32,2013-09-30,1158.9,646.3,1634.6,1470.5,
66,1997-04-30,758.2,493.9,,,800.9
49,2004-02-08,,526.1,,1281.2,865.7
61,2015-07-23,,,1503.3,,1016.7
47,1977-10-31,307.0,,491.8,404.2,487.4
51,2008-03-25,956.4,564.7,1419.3,,
46,1975-07-26,,231.3,,344.3,
56,1994-12-16,726.0,,,949.1,808.6
33,1977-08-20,262.3,225.9,,,
58,1999-08-18,,502.9,1019.1,,
28,1971-05-28,,178.7,,,
66,2010-06-10,1043.8,,1349.4,,1046.8
14,1999-05-30,,,1141.4,,
36,2019-11-09,,,1656.4,,1256.3
27,1974-01-25,,201.2,,335.5,498.4
53,1990-05-03,,,,,696.5
26,1996-01-19,761.4,426.1,,,836.6
62,2011-10-17,,647.5,,,1039.3
59,2017-06-12,1335.9,,,1680.3,1153.2
22,1996-07-06,787.2,456.4,1013.4,,
66,1985-05-11,,323.0,,,704.3
16,2012-02-26,1052.5,607.5,1313.2,,
26,1985-10-22,472.2,354.1,,738.5,
16,1986-10-09,,,,653.7,727.5
37,1988-03-04,510.8,386.4,746.6,,616.8
49,2013-01-18,,679.2,1625.2,1612.8,
58,1976-10-23,251.3,211.0,,399.3,555.1
33,2008-05-13,,,1463.1,1463.7,1050.8
27,1996-02-24,,,962.5,1050.3,
40,2005-11-11,1036.4,617.5,1193.0,1214.0,887.6
56,1999-04-18,,,1019.8,,866.1
50,2007-10-07,,565.6,,1369.7,
21,1999-05-12,749.1,518.9,,,937.3
36,1998-05-25,793.5,486.3,993.2,1047.4,
35,2005-10-22,874.5,521.7,1167.2,,916.6
43,1982-02-24,415.6,277.8,642.4,,
23,2014-04-15,,676.9,1634.5,,1014.0
29,2000-08-17,,536.0,,,878.9
50,1977-05-12,286.1,,461.6,,
23,1988-03-25,548.3,328.8,832.0,,
44,1976-07-21,,,,386.0,531.7
46,1974-09-15,220.9,208.9,,,484.5
21,1985-10-30,444.3,361.8,,,652.8
67,2004-04-23,970.5,,,,
26,1974-01-23,,,432.1,334.6,
42,1986-02-15,516.0,,687.3,671.0,
37,1986-08-01,463.7,317.4,749.5,756.2,678.8
25,2014-05-24,,691.1,,1520.8,1114.8
23,1988-12-18,,,,,756.3
25,1990-10-31,,,,,769.5
56,2019-12-12,1370.6,,1703.4,1942.7,
30,1983-06-05,,,704.3,570.6,
46,2003-11-07,,523.2,1132.0,,
58,2012-10-05,,650.0,1400.3,,
31,2014-06-30,,,,1639.5,
53,1990-08-05,526.6,,793.6,898.3,
64,2001-12-01,,561.9,,1140.9,
52,2000-01-18,731.8,510.7,1077.0,,
18,1986-11-19,,,803.9,,
51,1986-07-23,528.7,,771.2,,
50,2014-09-28,,,1623.4,1469.2,
61,1972-06-29,147.4,,369.9,281.3,
14,1989-04-09,605.4,,813.2,,705.8
33,2011-01-26,,,1502.5,,
50,1973-10-02,173.0,,,,430.3
40,1971-12-24,,,,,444.8
37,1993-04-21,,400.4,,,
55,1999-09-23,,522.5,,1238.6,
17,1982-12-10,425.5,,646.9,571.4,619.5
32,2020-03-08,,808.3,,,1092.0
66,2001-08-08,,472.7,,,845.6
62,2019-05-03,1245.7,,,1632.6,
44,1983-03-06,404.6,327.9,,,625.3
24,1990-11-01,,,,800.3,750.4
15,2000-12-04,886.6,496.6,,1256.0,
38,1989-02-18,580.5,337.8,877.4,,
65,1971-10-02,,,,,440.3
41,1997-01-28,,,1075.1,1120.3,
38,1990-01-16,,,,,648.9
55,2020-11-21,,746.1,1768.2,1922.6,
65,1978-01-02,299.1,,,,
37,1998-09-07,730.4,471.0,1123.3,,803.6
40,2009-03-26,955.3,651.6,,,
55,1994-09-08,,,,,819.3
32,2014-10-05,,,1557.5,,
66,2009-01-07,,666.0,1394.5,,1074.5
63,1995-05-25,728.0,,1010.3,,
67,1978-07-28,,,523.3,495.7,
57,1974-07-26,193.3,,,,462.1
17,1995-08-30,688.7,446.3,906.8,,
18,1981-06-20,339.6,282.5,563.6,,
46,1972-01-01,,179.7,351.3,243.5,464.8
28,2000-07-16,774.7,,,,942.0
36,1989-09-07,,,871.9,808.4,728.7
53,2019-08-01,,,,1757.8,1226.9
46,2011-02-16,,,,,983.2
66,2005-01-04,935.3,,1183.0,,960.6
58,2002-08-06,874.5,,1110.1,,
24,1977-04-01,,247.7,502.6,421.3,529.0
48,2011-03-20,966.4,,1392.6,,
31,1976-09-18,,231.5,,,
62,2011-04-05,1094.7,,1504.0,,998.2
40,1991-07-25,,,969.3,958.8,
17,1985-12-31,,358.1,720.3,,
19,2010-08-03,,,1484.6,1346.4,
65,2012-06-13,,,1572.5,1502.3,1000.7
50,1985-09-10,510.7,314.0,690.3,,
18,2001-08-31,,495.0,,1172.0,890.3
29,2000-04-27,877.7,510.3,1111.4,1220.7,
44,1981-11-08,350.3,274.8,644.4,,605.0
19,1979-08-07,335.3,289.1,,,
62,1993-09-26,,,863.3,,
28,1972-07-25,149.2,,398.6,277.9,
55,1976-04-14,,,462.9,,524.4
31,1971-03-24,119.8,,,259.6,439.4
39,2000-01-19,780.3,,1037.9,,850.7
49,1998-10-22,,451.7,,,866.4
64,2010-09-09,1062.4,604.8,,1384.9,
32,2006-03-29,941.9,,1169.9,,937.5
33,1975-08-07,,216.4,412.8,347.6,
58,1973-12-04,197.0,180.9,,,426.7
38,1979-02-25,325.8,,,,501.4
35,1982-07-13,394.2,310.5,,,
51,1972-07-04,146.9,,,,398.9
59,2010-05-18,1050.5,,,,1020.3
23,2005-07-22,,546.1,,,920.4
60,1996-08-01,787.7,,,1010.4,791.9
54,2018-08-08,,782.5,,,
62,1982-01-25,364.6,,,,
51,2018-12-14,,,,,1141.4
53,2018-12-26,1311.5,734.3,1558.6,,1062.5
42,1976-12-09,278.9,222.8,524.3,,537.4
52,1973-04-20,178.5,,,,
46,1980-04-26,372.6,,548.1,525.9,524.5
62,1978-11-16,279.1,,518.0,510.9,
28,1991-03-19,,359.7,920.1,,
23,2016-04-08,1120.7,,1651.2,,
43,1998-06-18,,440.5,,1013.8,904.5
39,1982-05-27,401.6,,,,
46,2000-10-09,,,,,958.4
58,2017-07-01,1231.0,691.3,,1688.5,1047.4
14,1991-10-19,568.4,,873.4,819.2,776.2
22,1992-08-24,,443.9,,822.0,751.4
25,1990-07-09,588.4,,,887.3,713.1
16,1973-04-07,,170.9,,301.7,
26,2017-11-01,,,,1549.9,1042.1
49,1984-04-10,,338.7,742.5,,653.4
48,2007-12-10,,,1277.2,,
55,1989-02-28,524.2,350.5,754.5,863.0,
31,1983-02-27,444.3,,632.8,669.6,664.1
19,2005-09-13,,,1156.6,,1039.9
41,1979-08-23,354.0,,601.0,453.1,
27,1991-03-12,,,868.5,866.7,756.0
43,1979-06-30,330.1,,,486.7,
31,2012-06-27,1080.8,,,,
57,2010-11-30,996.8,,1389.8,1496.0,
33,1995-12-13,,,947.7,,
28,1978-02-10,275.4,255.9,533.1,454.9,
59,1980-07-02,371.8,,573.7,556.0,586.9
29,2017-05-31,,,1656.1,1697.2,1117.2
54,2012-11-01,,,,,1067.6
44,2012-10-19,1212.8,601.7,,,1099.6
31,2013-08-12,,,1364.5,1495.6,
51,2004-04-16,,584.7,,,930.7
48,1976-07-11,262.6,223.6,,,
66,2015-08-10,,655.4,1455.7,,
22,2010-09-08,1031.4,,1430.6,1592.2,
30,1997-09-05,,,955.0,,
35,1990-10-01,596.7,,,821.5,
66,1980-10-23,374.7,,551.0,548.2,
27,2013-06-16,,,,,1181.3
67,2004-07-17,955.2,,1325.3,,
49,2019-02-11,1267.8,,,,1145.5
50,1990-08-21,643.0,406.2,,913.2,725.9
43,1972-01-10,,,360.6,,409.3
40,1977-01-06,254.7,233.2,,,545.3
16,1993-07-14,,,,1030.2,
53,2013-05-13,,,1630.3,,1066.5
46,2008-04-12,920.7,,,1439.2,
43,2002-01-28,,,1114.6,1220.9,
29,2009-11-11,,604.2,1446.0,,1123.7
23,1997-01-02,716.8,,1098.8,,
50,1999-07-03,862.4,489.5,1194.8,,
34,1985-03-11,,347.1,,671.2,658.5
48,1977-11-27,261.5,,,444.6,494.5
16,1978-12-14,,,525.7,489.6,522.7
52,2000-10-14,,,1119.1,,857.1
17,2016-12-31,,,1474.0,1729.7,
33,1979-02-26,313.8,236.9,514.9,,
65,2014-06-21,,652.7,1487.8,1683.7,998.1
33,2010-06-21,1019.8,,1323.3,,
48,1976-01-09,,201.0,500.9,,
46,2003-05-10,922.8,525.8,,1257.7,
50,2001-01-31,,,1228.8,1266.4,
45,1987-04-16,,324.7,726.3,,702.9
54,2015-02-04,,678.7,,1580.5,1012.8
59,2010-09-02,1019.6,,1358.2,,
44,2007-02-14,,552.8,,,
47,2002-07-29,,,,1255.6,
55,2019-02-09,,,,1767.4,
56,1992-06-27,,,,,807.1
38,1973-05-28,163.1,,396.8,334.5,411.2
45,2003-01-19,929.6,,1117.0,,
32,1991-04-11,632.7,,,,705.5
54,1987-09-01,,392.8,,690.3,705.5
42,1978-10-16,306.7,,,472.1,
60,2003-11-21,,558.9,,,865.8
64,2014-06-08,,,,1745.7,1070.3
20,1988-05-03,576.8,,781.3,800.3,680.6
47,2009-03-02,1035.7,616.0,,,
31,2007-07-28,,,1323.4,1248.2,1036.7
49,2017-03-26,,,,1698.2,
38,1975-01-03,210.4,,,,494.2
58,2016-04-09,,,,1728.2,1200.3
47,2007-02-13,939.7,,,,
41,1974-05-02,,,,319.0,428.8
67,1995-01-20,,,1081.7,1013.7,835.9
28,1973-12-15,200.9,204.8,390.7,,
43,1993-10-27,,,925.3,914.9,
61,2017-10-23,1309.3,,1632.4,,
32,1974-05-15,,,436.2,361.5,439.6
59,1977-11-01,267.6,245.3,,,
58,2008-08-28,,657.3,1344.8,,1010.6
51,2005-12-28,900.3,,,,
58,1977-12-18,306.1,238.3,529.0,,488.4
60,2019-01-18,,,1564.0,1628.7,
17,2017-01-20,,643.5,,,1191.1
22,1998-02-21,,,1033.9,,
19,1997-07-19,,,1096.3,1114.8,893.6
22,2015-05-13,,725.0,,,
63,2008-06-18,910.9,,,,
50,2002-01-18,867.4,,1213.2,1266.3,956.3
44,2015-09-07,1211.5,702.9,1647.3,,
38,2000-03-14,793.9,,1238.1,,903.3
27,1980-08-08,,,,511.3,522.0
48,2012-06-19,1017.4,,,,1154.5
41,1988-02-02,501.0,,,842.4,626.3
55,1980-03-02,353.5,282.7,,,521.9
61,2000-01-27,,493.7,,,892.8
50,2014-12-31,,622.8,1409.8,,
51,1985-08-22,,,719.1,747.6,
16,1993-08-13,,,930.7,893.2,
46,2011-08-18,,596.5,1319.8,1488.9,
65,1970-10-01,109.8,,,,418.8
62,1972-04-25,141.2,,356.3,256.3,
49,1987-05-03,524.0,,,762.8,
51,1973-01-21,170.6,,,285.9,454.3
35,1990-11-14,,,,920.9,754.8
50,2001-05-29,887.8,527.4,1220.9,,
25,2001-06-19,904.5,495.2,,1217.1,968.9
49,2006-08-15,,564.5,1400.0,1234.1,903.1
43,2009-11-20,1010.8,660.1,,,
20,1983-11-20,400.7,298.0,,,560.4
47,1995-02-25,,438.1,,915.0,
26,2010-12-06,1108.6,582.7,1495.7,1470.0,
25,1970-01-30,109.0,,327.1,,
20,2002-08-17,868.5,,1114.4,1103.2,952.1
59,1976-03-30,,237.2,449.4,,
54,1990-02-27,,404.6,837.1,799.0,665.8
60,1995-02-01,,,903.2,999.4,754.3
61,1978-11-21,,,539.3,475.1,
65,2016-12-17,1115.6,,1622.4,,
41,1986-05-18,,,811.4,680.8,676.0
53,1995-10-19,737.1,447.2,,,
47,2005-04-02,,,,,870.1
51,2005-08-24,1021.1,,1206.6,1362.2,
48,1992-01-20,,394.0,,,778.5
21,1976-08-16,234.1,240.4,,398.7,528.4
32,1985-12-08,475.2,,,706.4,629.3
46,1973-05-16,176.0,,,,
62,2017-12-16,,,1719.4,,
42,2014-06-20,1163.4,,1654.6,1482.6,1084.1
27,1972-05-05,,193.9,,285.8,441.0
57,1995-06-21,697.1,,1088.0,1060.9,
46,2020-09-23,1261.0,681.3,,1794.7,
33,2016-12-01,1133.5,,1714.6,,
46,2020-10-16,1413.6,701.4,,,1231.9
66,1994-10-01,,477.2,1068.4,,
18,1987-06-11,537.1,371.3,,,706.8
47,1991-03-29,,394.5,,,
38,1984-11-05,430.3,,,,608.8
54,1992-10-11,,,1003.6,,818.0
41,1970-07-29,,,,220.4,
31,2014-07-09,,,1384.5,,1056.8
16,2003-01-01,,589.9,,1193.3,
28,2002-01-26,821.6,,1092.5,1188.6,
45,2002-02-02,875.1,510.0,1284.3,1300.7,942.0
55,2010-09-16,1147.4,,,1343.1,1091.4
52,1991-05-26,,,,822.4,703.0
31,1997-01-01,685.6,,1021.4,1100.0,
16,1988-10-08,,,,,710.7
41,1990-07-07,,418.5,858.4,,
56,2005-11-17,882.5,,1273.5,,
28,1988-10-10,,359.0,864.1,747.9,
24,2003-10-12,932.5,589.4,1178.7,1135.3,939.0
62,1973-08-15,186.7,,379.2,,483.3
59,2010-09-01,1094.7,644.5,,,
54,1987-08-29,507.4,338.2,817.1,,680.9
30,2005-06-20,,515.2,,,
54,1975-04-08,,,,,438.6
37,1998-08-29,722.3,,,1169.9,
53,2017-02-14,1273.2,641.4,,,
49,1994-02-02,605.8,430.9,992.3,,
39,2002-11-04,836.3,,1199.9,,998.7
32,1985-04-04,448.3,320.0,,625.9,653.7
18,1973-02-18,,200.6,409.0,,431.7
44,1976-12-02,,,464.4,,
54,1981-06-17,,283.4,,578.3,612.9
60,2008-03-28,,,,1436.0,
50,1992-11-28,,379.3,943.9,891.1,797.8
48,1998-11-25,756.7,,,1064.4,803.0
31,1996-05-27,677.5,,962.3,,833.9
54,1984-08-06,480.5,,762.2,,631.4
56,1975-04-12,,201.3,477.8,395.2,
62,2006-02-05,999.4,538.9,,,
53,1996-12-14,696.4,,1129.4,,
39,1992-11-19,,,,,715.5
15,1972-10-29,,,406.0,285.1,423.4
40,2008-06-18,1061.2,607.3,,1390.6,
38,1991-07-04,609.3,,908.2,,673.4
54,2006-04-15,1048.9,574.8,1186.1,,919.4
52,2015-02-13,1061.2,,1549.5,,1003.3
20,2002-12-05,905.1,566.5,1113.7,,872.5
57,1997-12-23,,468.5,1076.7,987.4,
31,2002-05-23,900.0,,1299.1,,
23,1997-08-02,,,965.9,,
40,2007-10-30,1082.2,557.3,1429.0,1305.1,
23,1973-02-10,,191.3,,,470.8
60,1979-05-30,304.7,,584.1,457.4,538.3
54,2020-07-31,1408.5,,1560.7,1834.4,1099.2
67,2017-06-15,,,,1574.6,1170.8
40,2006-07-21,,,1424.1,1365.3,1044.0
47,2007-10-10,,564.2,,,956.9
26,1971-06-21,129.8,,356.6,250.4,417.2
62,1995-10-10,705.3,,,,
20,2016-11-26,1189.1,,1462.2,,1060.7
59,1995-02-07,727.0,,914.0,944.5,
58,1973-05-31,,204.8,362.8,322.1,467.9
50,2018-04-30,1347.4,742.8,,,
62,1986-10-03,515.3,342.3,816.1,777.1,
64,1998-11-13,822.3,507.7,,,876.9
55,2000-03-19,,,1165.6,,
42,1988-04-08,480.9,,,,
21,1980-03-08,372.2,,,,605.9
31,1999-07-12,,479.5,,1154.4,
15,2001-01-02,810.4,477.4,,,915.9
32,1986-06-04,455.8,,,,
33,1983-01-06,399.9,,647.7,613.6,571.9
27,2006-01-24,970.0,585.6,,1306.6,
28,1974-11-12,,,402.5,,482.1
55,1993-12-23,,453.6,,1046.8,786.3
16,1981-11-13,365.3,268.8,,,641.7
64,1987-09-25,467.3,,,,645.2
55,1973-07-21,180.1,,,,463.3
47,1984-10-16,412.0,,,,
48,1997-02-10,666.8,459.9,,1118.0,785.1
46,2015-01-16,,,1535.1,1523.2,1052.7
47,1993-07-02,626.7,,924.3,1030.2,
49,1993-11-20,,,,1029.3,830.2
23,2018-11-18,1212.8,,1479.7,1860.4,1239.6
60,2020-01-03,1342.3,794.1,,,
21,2005-09-15,,543.7,1329.2,1191.2,
62,1985-05-26,,,,,599.6
38,1993-10-15,,,968.2,,
38,2015-08-31,,,,,1193.5
14,1996-03-18,,441.1,963.0,,778.6
26,2007-08-05,992.2,,1439.8,1441.8,
34,2015-01-25,1114.6,,,1493.0,1147.1
52,1986-03-06,482.2,323.4,,,607.0
36,1993-08-07,,,,,741.9
34,1990-05-20,586.7,,,830.7,
37,2009-12-07,,,,1558.8,
27,1981-05-16,392.7,276.9,588.1,558.7,
64,1996-11-04,,434.8,,1121.7,
14,1994-03-01,722.7,453.4,906.6,913.7,763.2
67,1981-01-14,341.7,,569.5,,591.9
30,1976-06-05,272.3,,509.4,397.4,
53,2010-08-31,1131.1,596.3,,,1054.7
38,1997-07-23,797.4,487.2,968.2,1055.1,
66,1977-09-23,,,,436.8,
37,1989-06-03,555.7,387.6,,,
60,1977-04-27,251.8,214.4,,468.7,
28,1978-10-31,,236.4,559.4,,581.0
47,1973-11-08,196.9,184.8,386.4,337.0,
37,1980-10-02,335.3,302.2,626.3,,540.7
63,2000-12-23,,558.9,,1088.8,
35,1977-09-14,283.6,,511.4,,516.4
53,1988-12-10,,340.9,,763.5,637.0
36,1970-06-24,111.3,146.6,343.1,233.5,424.9
58,1984-07-13,,351.9,,664.5,
17,2015-08-17,1249.7,,1645.7,1778.9,1160.4
18,1989-05-09,512.4,,,,
36,2002-12-01,790.9,498.8,,,922.1
54,2000-05-11,,513.2,,1258.9,
23,2016-08-19,,,,1532.2,1138.3
16,1995-04-13,,,974.7,,
35,1985-11-16,487.3,337.8,,,701.6
21,2002-06-20,918.0,,1075.8,,821.0
60,2002-07-02,,550.7,,,895.5
29,1988-09-12,561.4,372.1,,840.1,640.5
37,2014-01-30,,,,,1009.8
59,2004-02-11,881.6,501.8,,,
21,1989-06-15,509.1,350.1,791.8,,681.9
14,1978-08-10,319.3,,548.5,,577.3
18,1996-06-17,,,,,827.6
65,1982-11-21,367.9,297.5,,651.8,
48,1971-01-15,135.3,,,240.7,
22,2010-11-03,1151.5,,,1583.9,1018.9
53,1985-06-15,,357.8,,701.1,671.5
40,1972-09-16,,179.5,371.9,,
23,2014-05-15,,,1528.8,,
50,1971-01-02,,,337.9,,406.8
23,2000-06-05,877.0,,1076.3,,
63,2010-03-05,1017.1,,,1538.9,
52,2011-12-05,1161.0,650.4,1305.9,,
54,1982-12-12,443.3,,,,558.9
22,2011-12-20,994.6,686.8,1361.4,1662.8,
42,2020-03-19,1387.9,704.2,,,1192.1
50,1985-05-25,446.5,348.2,777.9,,598.6
38,2001-08-31,,513.3,1231.8,,964.3
67,2004-03-20,,587.8,1163.4,,
32,1994-01-14,,,,976.2,740.0
35,1998-02-21,725.0,,,1190.8,880.3
41,2000-10-14,,513.4,,,959.4
65,2005-10-21,892.4,586.6,,1432.5,1054.8
38,2010-10-05,1139.2,,1462.8,,971.8
38,1979-06-20,309.8,,,466.2,574.8
44,2000-06-01,,558.4,1208.2,1154.2,
54,2002-07-12,,585.1,1081.9,,
56,1997-08-28,762.7,,,967.5,916.7
26,1975-11-19,,222.3,,392.0,538.3
56,1988-09-06,507.5,,,,
15,1974-04-21,,187.6,410.9,314.8,508.8
30,1996-11-14,,,1139.3,1126.8,898.2
67,2005-01-10,941.7,,,,856.6
25,1996-04-17,,448.8,,,
31,2013-09-19,1088.6,718.1,1368.9,1543.7,
39,1993-05-17,628.0,457.2,,867.2,
38,1976-08-26,246.0,,,408.6,496.5
28,2009-09-12,1060.1,613.3,,,1124.3
21,1999-07-12,783.7,529.2,,,
53,2005-11-21,,,,,912.5
22,2014-02-20,1085.2,,,,
62,1974-09-07,197.8,200.7,,358.7,441.5
62,1993-02-03,,448.1,,,734.3
25,1994-02-16,652.1,,,1018.6,838.3
61,1996-07-27,,,1051.5,,748.8
44,1996-12-22,,,1030.3,1028.7,785.5
56,1997-08-05,719.5,476.7,,1075.2,812.9
